Provider_ID,Provider_Name,Hospital_Name,Hospital_Type,Provider_Specialty,State,Years_in_Practice,Provider_Rating,Total_Beds,Accreditation_Status,Is_High_Risk,Rating_Tier,Experience_Tier,Hospital_Size
P001,Mr. Kevin Schultz DDS,"Golden, Smith and Macias",Government,Cardiology,FL,31,2.6,621,Accredited,1,Average,Expert,Major
P002,Kristi Webb,Thornton and Sons,Government,Pediatrics,FL,17,3.1,437,Lapsed,0,Good,Senior,Large
P003,Thomas Calderon,"Bradley, Boyle and Vargas",Non-Profit,Oncology,GA,10,4.4,134,Lapsed,1,Excellent,Mid,Medium
P004,Dr. Louis Brooks,Gray-Brown,Private,Cardiology,OH,23,3.7,636,Accredited,1,Good,Senior,Major
P005,Tammy Barnes,Holden and Sons,Private,Cardiology,IL,21,3.9,215,Accredited,0,Good,Senior,Medium
P006,Joseph Ware,Arroyo Ltd,Private,General Practice,FL,25,1.8,520,Accredited,1,Poor,Senior,Large
P007,Ruth Duffy,Shaw LLC,Government,General Practice,FL,13,3.2,645,Accredited,0,Good,Mid,Major
P008,Tanya Berry,Hansen-Kirk,Government,Neurology,NY,13,3.8,512,Lapsed,0,Good,Mid,Large
P009,Geoffrey Bryant,"Wise, Ballard and Jones",Clinic,Neurology,FL,26,1.9,94,Accredited,1,Poor,Expert,Small
P010,Rodney Marquez,"Johnson, Taylor and Potter",Government,Neurology,PA,38,1.7,432,Accredited,0,Poor,Expert,Large
P011,Earl Potts,Kennedy-Griffin,Government,General Practice,OH,26,4.9,395,Lapsed,0,Excellent,Expert,Large
P012,Joseph Delgado,"Ramsey, Lynch and Mckenzie",Government,Neurology,IL,5,3.1,439,Pending Review,0,Good,Junior,Large
P013,Michelle Jordan,Myers and Sons,Private,Cardiology,CA,24,2.0,748,Pending Review,0,Poor,Senior,Major
P014,Jaime Cook,Willis-Hall,Private,General Practice,IL,4,5.0,296,Accredited,0,Excellent,Junior,Medium
P015,Michelle Burton,Wilson-Hunter,Government,Neurology,OH,26,4.9,780,Accredited,1,Excellent,Expert,Major
P016,Anna Shaw,Rice Ltd,Private,Cardiology,PA,32,3.2,695,Lapsed,1,Good,Expert,Major
P017,Kimberly Murray,Bean-Mcdonald,Clinic,Neurology,OH,40,4.5,413,Accredited,0,Excellent,Expert,Large
P018,Megan Walsh,Lewis-Boyd,Private,Orthopedics,NY,4,1.8,476,Accredited,0,Poor,Junior,Large
P019,Terri Webb,Rodriguez and Sons,Clinic,Neurology,CA,23,2.1,211,Accredited,0,Average,Senior,Medium
P020,Ian Clark,Stuart-Edwards,Non-Profit,Orthopedics,IL,35,3.8,758,Lapsed,0,Good,Expert,Major
P021,Linda Torres,Daniels Group,Government,Neurology,TX,14,4.4,708,Accredited,0,Excellent,Mid,Major
P022,Brandon Clements,"Morales, Smith and Knox",Private,Pediatrics,IL,24,4.4,118,Lapsed,1,Excellent,Senior,Medium
P023,Rhonda Petersen,Mason-Ford,Clinic,Pediatrics,NY,27,2.6,567,Accredited,0,Average,Expert,Large
P024,Susan Zimmerman,"Hurst, Jackson and Peterson",Non-Profit,Oncology,CA,29,4.6,115,Accredited,0,Excellent,Expert,Medium
P025,Donald Walsh,"Hunter, Adams and Phillips",Non-Profit,Pediatrics,PA,30,4.4,683,Lapsed,0,Excellent,Expert,Major
P026,Colton Ray,"Matthews, Torres and Fisher",Private,Pediatrics,OH,18,4.7,682,Pending Review,0,Excellent,Senior,Major
P027,Anthony Zavala,Abbott LLC,Private,Neurology,OH,17,4.1,209,Accredited,0,Excellent,Senior,Medium
P028,Nathan Wagner,Davis Ltd,Non-Profit,General Practice,PA,5,3.7,755,Accredited,1,Good,Junior,Major
P029,Raymond Weaver,Hamilton PLC,Government,General Practice,CA,39,3.3,56,Lapsed,0,Good,Expert,Small
P030,Keith Dodson,Peterson-Miller,Government,Orthopedics,PA,9,2.5,799,Accredited,0,Average,Mid,Major
P031,Alexander Smith,"Bird, Brown and Evans",Clinic,General Practice,FL,23,4.8,388,Accredited,0,Excellent,Senior,Large
P032,Elizabeth Montes,Dawson-Webster,Government,Cardiology,IL,11,4.9,714,Pending Review,0,Excellent,Mid,Major
P033,Jason Stevens,"Lawrence, Dillon and Carey",Non-Profit,Oncology,NY,20,2.1,544,Pending Review,0,Average,Senior,Large
P034,Jacob Stark,"Davis, Stevens and Miller",Non-Profit,Pediatrics,PA,6,2.2,298,Accredited,1,Average,Mid,Medium
P035,Brian Roberts,Harris-Singh,Non-Profit,Oncology,NY,27,2.9,236,Pending Review,0,Average,Expert,Medium
P036,Jennifer Harrison,"Flynn, Burgess and Mitchell",Government,Cardiology,FL,16,2.8,292,Accredited,0,Average,Senior,Medium
P037,Jodi Dean,"Gomez, Hartman and Green",Clinic,Pediatrics,OH,11,5.0,81,Pending Review,1,Excellent,Mid,Small
P038,Henry Turner,"Richardson, Sanchez and Olsen",Government,Orthopedics,PA,28,1.7,615,Accredited,1,Poor,Expert,Major
P039,Mandy Williams,Guzman-Alexander,Clinic,Cardiology,CA,4,1.1,748,Pending Review,0,Poor,Junior,Major
P040,Christine Nichols,Fox-Jones,Government,Cardiology,OH,22,3.0,361,Accredited,1,Average,Senior,Large
P041,Charles Liu,"Hill, Patton and Gibson",Non-Profit,Oncology,OH,30,1.7,416,Lapsed,1,Poor,Expert,Large
P042,Jasmine Garner,"Jones, Cooper and Frost",Non-Profit,Neurology,CA,9,2.5,718,Accredited,1,Average,Mid,Major
P043,Claudia Lee,Webb Group,Private,Oncology,IL,10,4.0,38,Lapsed,1,Good,Mid,Small
P044,Brittany Munoz,Gonzalez Group,Government,Oncology,IL,37,3.9,196,Lapsed,0,Good,Expert,Medium
P045,Jason Hudson,"Lewis, Chan and Johnson",Government,General Practice,PA,16,2.2,631,Pending Review,0,Average,Senior,Major
P046,Becky Martin,Reyes Ltd,Private,Cardiology,OH,19,3.2,415,Pending Review,0,Good,Senior,Large
P047,William Marshall,"Bryant, Bradley and Gordon",Non-Profit,Oncology,PA,38,3.0,464,Pending Review,0,Average,Expert,Large
P048,Jonathon Murphy,Brennan Group,Government,Cardiology,IL,6,3.5,252,Lapsed,1,Good,Mid,Medium
P049,Grant Rodriguez,Stuart-Proctor,Private,General Practice,TX,4,2.0,95,Accredited,0,Poor,Junior,Small
P050,Matthew Soto,King LLC,Government,Cardiology,FL,8,3.4,284,Accredited,0,Good,Mid,Medium
P051,Toni Combs,Cook LLC,Clinic,Oncology,PA,6,4.9,474,Accredited,0,Excellent,Mid,Large
P052,Stephanie Petty,"Rojas, Webb and Phillips",Non-Profit,Cardiology,PA,31,2.9,737,Accredited,1,Average,Expert,Major
P053,Emily Clark,Cherry-Harris,Clinic,Pediatrics,TX,20,4.6,754,Accredited,1,Excellent,Senior,Major
P054,Christine Ward,Middleton-Shaw,Non-Profit,General Practice,IL,28,2.7,403,Pending Review,0,Average,Expert,Large
P055,Marcus Stafford,"Johnson, Mills and Anderson",Private,Neurology,PA,36,2.4,583,Accredited,0,Average,Expert,Large
P056,Judy Park,Rowland-Lewis,Non-Profit,Cardiology,NY,12,3.6,525,Pending Review,0,Good,Mid,Large
P057,Andrew Gonzalez,"Holland, Barr and Rubio",Non-Profit,Oncology,IL,38,3.7,386,Lapsed,0,Good,Expert,Large
P058,Mike Ross,Allen and Sons,Private,General Practice,IL,16,4.5,163,Lapsed,0,Excellent,Senior,Medium
P059,Teresa Massey,Terrell Inc,Non-Profit,Oncology,FL,33,1.9,88,Pending Review,0,Poor,Expert,Small
P060,Patrick Hughes,Hawkins-Rivera,Government,Oncology,PA,17,3.0,118,Accredited,0,Average,Senior,Medium
P061,Dawn Robinson,Miles LLC,Private,Cardiology,OH,10,3.3,415,Accredited,0,Good,Mid,Large
P062,Angela Bailey,Myers-Powell,Private,Oncology,GA,16,4.1,44,Pending Review,0,Excellent,Senior,Small
P063,Sabrina Garcia,Graham-Medina,Private,Cardiology,GA,25,1.2,488,Accredited,0,Poor,Senior,Large
P064,Derrick Tyler,Wolfe-Mccullough,Clinic,Neurology,GA,23,5.0,503,Accredited,0,Excellent,Senior,Large
P065,Anita Sanchez,Ramos Group,Clinic,Pediatrics,FL,18,2.9,584,Pending Review,0,Average,Senior,Large
P066,Toni Williams,Sanchez Inc,Non-Profit,Oncology,GA,20,2.1,170,Accredited,0,Average,Senior,Medium
P067,Mr. Alexander Molina,Butler PLC,Private,Oncology,TX,26,4.5,163,Accredited,0,Excellent,Expert,Medium
P068,Jose Thomas,Aguirre-Fisher,Non-Profit,Oncology,CA,28,4.0,588,Accredited,1,Good,Expert,Large
P069,Steven Callahan,Davis Inc,Government,Orthopedics,IL,27,4.8,58,Accredited,0,Excellent,Expert,Small
P070,Miguel Ramirez,"Page, Berry and Strickland",Private,Orthopedics,OH,31,2.3,128,Accredited,0,Average,Expert,Medium
P071,Caleb Rich,Carter-Mcknight,Government,General Practice,CA,17,3.2,712,Lapsed,0,Good,Senior,Major
P072,Derek Brown PhD,Salazar-Davis,Non-Profit,Pediatrics,FL,3,3.3,61,Accredited,1,Good,Junior,Small
P073,John Ellis,Aguirre-Miles,Clinic,Pediatrics,IL,27,4.9,205,Lapsed,1,Excellent,Expert,Medium
P074,Justin Harvey,Graham Ltd,Non-Profit,Orthopedics,FL,9,1.3,417,Accredited,0,Poor,Mid,Large
P075,Melissa Figueroa,"Mitchell, Lee and Mills",Government,General Practice,FL,11,2.2,242,Lapsed,0,Average,Mid,Medium
P076,Briana Calderon,Carter Inc,Private,Orthopedics,TX,26,1.8,653,Accredited,0,Poor,Expert,Major
P077,Noah Luna,Allen LLC,Non-Profit,Neurology,NY,3,2.1,152,Accredited,0,Average,Junior,Medium
P078,Charles James,"Hall, Douglas and Ayala",Private,General Practice,NY,10,2.9,182,Accredited,0,Average,Mid,Medium
P079,Julie Scott,Mccoy and Sons,Clinic,Pediatrics,FL,26,2.5,234,Pending Review,0,Average,Expert,Medium
P080,Mark Williams,Moore-Greer,Clinic,Pediatrics,GA,13,2.6,752,Pending Review,0,Average,Mid,Major
P081,Linda Garcia,Phillips-Mcbride,Clinic,Orthopedics,CA,19,4.4,254,Lapsed,0,Excellent,Senior,Medium
P082,James Zimmerman,Phillips-Armstrong,Private,Neurology,GA,10,4.7,677,Accredited,0,Excellent,Mid,Major
P083,Derek King,"Simmons, Solis and Hill",Non-Profit,Orthopedics,PA,37,1.3,770,Pending Review,0,Poor,Expert,Major
P084,Patricia Wang,Short-Thompson,Private,Cardiology,FL,37,1.8,607,Pending Review,0,Poor,Expert,Major
P085,Melissa Jones,Gibson Ltd,Private,Cardiology,PA,35,3.7,28,Pending Review,0,Good,Expert,Small
P086,Catherine Weaver,Holmes Ltd,Non-Profit,Neurology,GA,7,2.4,93,Accredited,0,Average,Mid,Small
P087,Antonio Lutz,Levine Ltd,Clinic,Oncology,PA,30,2.0,511,Accredited,0,Poor,Expert,Large
P088,Amber Williams,Anderson-Lester,Clinic,Oncology,FL,9,2.2,272,Accredited,0,Average,Mid,Medium
P089,Joshua Spencer MD,"James, Carter and Parker",Non-Profit,Cardiology,TX,11,2.3,249,Accredited,0,Average,Mid,Medium
P090,George Ortiz,"Carr, Maynard and Alvarez",Private,Cardiology,NY,10,4.4,538,Pending Review,0,Excellent,Mid,Large
P091,Denise Rose DDS,"Crane, Andersen and Anderson",Private,Oncology,CA,14,1.5,193,Accredited,0,Poor,Mid,Medium
P092,Destiny Mccormick,Gentry-Alvarado,Clinic,General Practice,PA,36,3.8,672,Accredited,1,Good,Expert,Major
P093,Morgan Sandoval,"Powell, Carson and Wright",Government,Oncology,FL,35,3.2,187,Lapsed,1,Good,Expert,Medium
P094,Joseph Thomas,Jackson-Williams,Government,Orthopedics,TX,25,2.2,189,Accredited,0,Average,Senior,Medium
P095,Douglas Rose,Patel and Sons,Government,General Practice,GA,26,2.7,412,Pending Review,0,Average,Expert,Large
P096,Bryan Grant,"Reese, Frazier and Kim",Private,Orthopedics,NY,39,2.0,653,Lapsed,0,Poor,Expert,Major
P097,Lori Campbell,Dunn LLC,Private,Cardiology,FL,37,3.4,213,Lapsed,0,Good,Expert,Medium
P098,Spencer Kim,Riley and Sons,Clinic,General Practice,CA,24,1.3,536,Accredited,0,Poor,Senior,Large
